scenario_id,algorithm,run_index,seed,penalized_objective,area,volume,total_height,rel_volume_error,rel_height_error,monotonic_violation,feasible,engineering_feasible,engineering_failed_checks,n_evals,time_s,budget,decision_vector
S1,PSO,8,10008,553293.269066556,8054.4934960017035,69923.2324669398,36.5,0.005642314178899416,0.0,0.000704240690399871,False,False,neck_radius,10000,1.405768871307373,10000,"[32.01835803156579, 26.154513280020186, 22.120725359001653, 19.35713766328283, 17.76791272593231, 17.76861696662271, 20.81984978847914, 24.598809930730834, 27.05872012592501]"
S1,PSO,9,10009,215482.3882893503,7802.117737013632,70409.57457434804,36.5,0.0012738136283850477,0.0,0.0,False,False,,10000,1.2641377449035645,10000,"[33.81895285560553, 28.627926142885908, 24.108293406683142, 20.70204882043836, 18.65538554684374, 18.05554305887494, 18.90954707231632, 20.93556266624568, 23.918802338581198]"
S1,BFGS,0,20000,211178.3404808079,7782.0053343746185,70428.04997426734,36.5,0.0015365468468052032,0.0,0.0,False,False,,5001,0.580153226852417,5000,"[33.4582466646855, 28.17640131090361, 23.84622103905381, 20.71723537382595, 18.918617288424507, 18.474726631004174, 19.31444565770625, 21.273449983900708, 24.091268250786335]"
S1,BFGS,1,20001,211178.34048080796,7782.00533436495,70428.04997408972,36.5,0.001536546844279312,0.0,0.0,False,False,,5001,0.5630285739898682,5000,"[33.45824666453206, 28.17640131069269, 23.846221039033367, 20.717235373920644, 18.91861728862189, 18.47472663117601, 19.314445657689173, 21.27344998374333, 24.09126825072919]"
S1,BFGS,2,20002,211178.34048080805,7782.005334363193,70428.04997411689,36.5,0.0015365468446656661,0.0,0.0,False,False,,5001,0.5668125152587891,5000,"[33.45824666453068, 28.17640131068045, 23.84622103901679, 20.717235373919515, 18.918617288646217, 18.474726631212654, 19.314445657731493, 21.27344998379341, 24.09126825068684]"
S1,BFGS,3,20003,211178.3404808079,7782.005334366037,70428.0499741609,36.5,0.0015365468452914481,0.0,0.0,False,False,,5001,0.5810894966125488,5000,"[33.45824666470878, 28.17640131065335, 23.846221038860985, 20.717235374117077, 18.91861728876757, 18.474726631131247, 19.31444565748465, 21.273449983583316, 24.091268250881473]"
S1,BFGS,4,20004,211178.3404808078,7782.005334364442,70428.04997416175,36.5,0.0015365468453036575,0.0,0.0,False,False,,5000,0.5808813571929932,5000,"[33.45824666459303, 28.176401310662147, 23.846221038994603, 20.717235373895054, 18.918617288601187, 18.474726631229846, 19.314445657758256, 21.273449983789924, 24.091268250749316]"
S1,BFGS,5,20005,211178.34048080788,7782.005334363581,70428.04997408441,36.5,0.0015365468442037793,0.0,0.0,False,False,,1543,0.1871645450592041,5000,"[33.45824666452804, 28.176401310672546, 23.84622103900842, 20.717235373905414, 18.91861728861469, 18.474726631223398, 19.314445657734208, 21.273449983777574, 24.091268250690216]"
S1,BFGS,6,20006,211178.34048080776,7782.005334363708,70428.04997408554,36.5,0.0015365468442199207,0.0,0.0,False,False,,5001,0.5881621837615967,5000,"[33.458246664529675, 28.176401310678333, 23.846221039012697, 20.717235373907023, 18.91861728861259, 18.47472663121944, 19.314445657730502, 21.27344998377553, 24.091268250687076]"
S1,BFGS,7,20007,211178.34048080782,7782.005334363589,70428.04997408451,36.5,0.001536546844205228,0.0,0.0,False,False,,1596,0.2573685646057129,5000,"[33.4582466645282, 28.176401310672762, 23.84622103900823, 20.71723537390486, 18.91861728861436, 18.474726631223515, 19.3144456577344, 21.273449983777905, 24.0912682506903]"
S1,BFGS,8,20008,211178.34048080785,7782.005334363175,70428.0499740811,36.5,0.0015365468441568043,0.0,0.0,False,False,,5001,0.8995475769042969,5000,"[33.45824666452162, 28.176401310653453, 23.84622103898222, 20.717235373890304, 18.91861728860712, 18.47472663124548, 19.31444565776676, 21.273449983796937, 24.091268250700406]"
S1,BFGS,9,20009,211178.34048080776,7782.005334363591,70428.04997408448,36.5,0.001536546844204814,0.0,0.0,False,False,,1587,0.40863490104675293,5000,"[33.45824666452833, 28.17640131067288, 23.846221039008494, 20.71723537390525, 18.918617288614595, 18.474726631223344, 19.314445657733902, 21.273449983777372, 24.091268250690153]"
S2,SA,0,0,7751.283404918035,7751.120541457921,70317.99333122466,36.5,2.853624538314e-05,0.0,0.0,True,True,,10000,1.1688616275787354,10000,"[31.192740055581837, 26.42263734346129, 23.30071259244014, 21.437946700453406, 20.631063376127756, 20.468325520331778, 20.84656206101998, 22.105112150176165, 23.80649620568649]"
S2,SA,1,1,7750.696352305654,7750.687954696634,70319.54433917764,36.5,6.479818293013858e-06,0.0,0.0,True,True,,10000,1.1663997173309326,10000,"[32.80988237204711, 27.441962603398274, 23.597357455721138, 20.996112504685783, 19.809116492401657, 19.486572051631594, 19.860470761111436, 21.188820482476963, 23.75820806921274]"
S2,SA,2,2,7746.3631865105,7745.742023820117,70316.08107866978,36.5,5.57298255150186e-05,0.0,0.0,True,True,,10000,1.1473805904388428,10000,"[31.207568023246267, 26.446889635119277, 23.50457420264551, 21.47916491840779, 20.354187143641145, 20.258773940745687, 20.76073770993493, 21.97928027995062, 24.118568853539035]"
