Algorithm,Problem,Run_ID,Best_Value,Time_s,Evals,Success
SA,rosenbrock,6,3.790019305160373e-05,0.0626070499420166,10000,True
SA,rosenbrock,7,1.4408863301792897e-07,0.06152915954589844,10000,True
SA,rosenbrock,8,6.694751025071986e-06,0.0616612434387207,10000,True
SA,rosenbrock,9,8.359677851358237e-06,0.06219172477722168,10000,True
SA,rosenbrock,10,3.2936296735732394e-06,0.06162881851196289,10000,True
SA,rosenbrock,11,1.134531549234329e-05,0.062245845794677734,10000,True
SA,rosenbrock,12,5.351439474008226e-06,0.06196880340576172,10000,True
SA,rosenbrock,13,2.3607265057213322e-07,0.0627899169921875,10000,True
SA,rosenbrock,14,4.592657525169818e-06,0.062351226806640625,10000,True
SA,rosenbrock,15,1.0155154350213885e-05,0.06237483024597168,10000,True
SA,rosenbrock,16,1.0962170249093946e-05,0.062062740325927734,10000,True
SA,rosenbrock,17,2.0273343534389233e-05,0.06262898445129395,10000,True
SA,rosenbrock,18,1.375441870904017e-06,0.06252908706665039,10000,True
SA,rosenbrock,19,9.06045554830847e-06,0.061530113220214844,10000,True
SA,rosenbrock,20,8.06909601437038e-06,0.0615086555480957,10000,True
SA,rosenbrock,21,1.641086036195554e-05,0.06118512153625488,10000,True
SA,rosenbrock,22,4.095249080380077e-06,0.062319040298461914,10000,True
SA,rosenbrock,23,1.9524822373717133e-05,0.061215877532958984,10000,True
SA,rosenbrock,24,1.1474181829590175e-05,0.06201910972595215,10000,True
SA,rosenbrock,25,8.174706969645972e-06,0.06181502342224121,10000,True
SA,rosenbrock,26,1.4644398815696663e-05,0.06264376640319824,10000,True
SA,rosenbrock,27,3.006739956869265e-05,0.062254905700683594,10000,True
SA,rosenbrock,28,1.4213961455334814e-05,0.06152796745300293,10000,True
SA,rosenbrock,29,3.205377649683421e-06,0.06111884117126465,10000,True
PSO,rosenbrock,0,0.0,0.0778651237487793,10020,True
PSO,rosenbrock,1,0.0,0.07629895210266113,10020,True
PSO,rosenbrock,2,0.0,0.076934814453125,10020,True
