scenario_id,algorithm,run_index,seed,penalized_objective,area,volume,total_height,rel_volume_error,rel_height_error,monotonic_violation,feasible,n_evals,time_s,budget,decision_vector
S5,SA,0,0,7755.811721743966,7754.877488087862,70324.69339932763,36.498613383278666,6.674344891400037e-05,3.7989499214621e-05,0.0,True,10000,0.40878796577453613,10000,"[2.0, 2.47093935339463, 2.7416756919123193, 3.076737032959188, 4.041260232864985, 4.970901605553609, 4.147951332124295, 4.937714791851345, 5.351471804002535, 2.7599615386157588]"
S5,SA,1,1,7753.720699647782,7753.581116060902,70319.80947930574,36.502476586044985,2.7093386555896978e-06,6.785167246533385e-05,0.0,True,10000,0.3976478576660156,10000,"[2.0, 2.173850088830357, 2.603712104995748, 2.9827493358298955, 3.771128638124998, 4.938251797869543, 3.9746442494871195, 5.2394381257191025, 4.528304724382056, 4.290397520806168]"
S5,SA,2,2,7749.882041557218,7749.653166377024,70319.68676673074,36.49683966168461,4.454398027049596e-06,8.658461138052906e-05,0.0,True,10000,0.3962118625640869,10000,"[2.0, 2.0966170881230908, 3.1623740139949064, 3.9107019902929587, 4.34810096246657, 4.480015226001064, 5.294533384327969, 4.724176281735327, 3.3989872960667165, 3.081333418676009]"
S5,SA,3,3,7763.004738720288,7762.42933291887,70317.07065414012,36.496815641870555,4.165736433282212e-05,8.724268847795305e-05,0.0,True,10000,0.39541125297546387,10000,"[2.0131645824670925, 2.076648074211241, 2.0981820766643646, 4.1446571725463786, 5.32958542739234, 5.058490714171241, 3.68591085011779, 4.24090470285458, 3.7760627468355312, 4.073209294609993]"
S5,SA,4,4,7779.669805580827,7770.673031942565,70325.95040170202,36.48167144867711,8.461890930066334e-05,0.000502152091038031,0.0,True,10000,0.3947300910949707,10000,"[2.0338840805803757, 2.0703228167796195, 2.985549727279797, 4.488107782037776, 5.128315645671893, 4.297064884829937, 5.448776404685908, 4.669115253104567, 2.3899054399805477, 2.970629413726688]"
S5,SA,5,5,7767.202109947653,7765.468305449966,70313.57698196637,36.501701737512406,9.133984689463591e-05,4.662294554535735e-05,0.0,True,10000,0.39565181732177734,10000,"[2.0339835990046606, 2.622465761658166, 2.2876748135047182, 4.485806968032594, 3.601823525150224, 5.481031262682244, 4.7428645918752235, 5.107059859073304, 3.575771884818078, 2.563219471713198]"
S5,SA,6,6,7750.30568559713,7749.523844469416,70319.4547266138,36.49415310066867,7.75417215875877e-06,0.0001601890227761973,0.0,True,10000,0.3943941593170166,10000,"[2.0, 2.2328882052478196, 3.194879830931568, 2.991888759213048, 3.2903937105895453, 4.7213669556681594, 5.038804110872081, 5.241974685990141, 4.3209920036013685, 3.4609648385549443]"
S5,SA,7,7,7759.02085782064,7757.487697654072,70321.83691745166,36.49212443766556,2.612226182672936e-05,0.0002157688310805656,0.0,True,10000,0.3991968631744385,10000,"[2.0197947761014046, 2.254577814968066, 2.363936245636815, 4.41891965471603, 4.933253232939014, 4.994293646321511, 5.367118024440608, 3.464177273421918, 3.32097796094375, 3.355075808176447]"
S5,SA,8,8,7758.10818320693,7756.716538828954,70317.84884157362,36.49268637800531,3.059099013621971e-05,0.00020037320533398143,0.0,True,10000,0.3948969841003418,10000,"[2.0, 2.0, 3.433329421989187, 3.5223189598366416, 3.0003446631614668, 4.579993643431431, 5.5, 5.3603000619114916, 3.3753287092071687, 3.7210709184679254]"
S5,SA,9,9,7752.543024792037,7752.1312259937795,70317.59633802882,36.49718752450604,3.4181768645964054e-05,7.705412312222276e-05,0.0,True,10000,0.3949277400970459,10000,"[2.0, 2.5097670007675212, 3.0823857782371435, 2.7761290921180053, 4.005183819879115, 5.220639018771478, 5.407181156727378, 4.909797365514323, 3.325418016753659, 3.260686275737415]"
S5,PSO,0,10000,7836.042263941554,7819.972810183842,70309.53234655978,36.52273352108704,0.00014885741524778498,0.0006228361941654997,0.0,True,10000,0.4235379695892334,10000,"[2.0, 2.0, 2.0, 2.0, 5.5, 4.522733521087041, 2.0, 5.5, 5.5, 5.5]"
