job_name,case_id,case_label,scenario_id,algorithm,selection_status,mesh_level,case_variant,load_case,max_radius_abs_diff_m,max_segment_height_abs_diff_m,total_height_abs_diff_m,base_diameter_abs_diff_m,top_diameter_abs_diff_m,tolerance_m,status
task7_s1_sa_refined_gravity_only,s1_sa,S1 / SA,S1,SA,engineering_feasible,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_sa_refined_wind_only,s1_sa,S1 / SA,S1,SA,engineering_feasible,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_bfgs_coarse,s2_bfgs,S2 / BFGS,S2,BFGS,engineering_feasible,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_bfgs_refined,s2_bfgs,S2 / BFGS,S2,BFGS,engineering_feasible,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_bfgs_refined_gravity_only,s2_bfgs,S2 / BFGS,S2,BFGS,engineering_feasible,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_bfgs_refined_wind_only,s2_bfgs,S2 / BFGS,S2,BFGS,engineering_feasible,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_pso_coarse,s2_pso,S2 / PSO,S2,PSO,mathematical_fallback,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_pso_refined,s2_pso,S2 / PSO,S2,PSO,mathematical_fallback,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_pso_refined_gravity_only,s2_pso,S2 / PSO,S2,PSO,mathematical_fallback,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_pso_refined_wind_only,s2_pso,S2 / PSO,S2,PSO,mathematical_fallback,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_sa_coarse,s2_sa,S2 / SA,S2,SA,engineering_feasible,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_sa_refined,s2_sa,S2 / SA,S2,SA,engineering_feasible,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_sa_refined_gravity_only,s2_sa,S2 / SA,S2,SA,engineering_feasible,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s2_sa_refined_wind_only,s2_sa,S2 / SA,S2,SA,engineering_feasible,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_bfgs_coarse,s3_bfgs,S3 / BFGS,S3,BFGS,engineering_feasible,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_bfgs_refined,s3_bfgs,S3 / BFGS,S3,BFGS,engineering_feasible,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_bfgs_refined_gravity_only,s3_bfgs,S3 / BFGS,S3,BFGS,engineering_feasible,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_bfgs_refined_wind_only,s3_bfgs,S3 / BFGS,S3,BFGS,engineering_feasible,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_pso_coarse,s3_pso,S3 / PSO,S3,PSO,engineering_feasible,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_pso_refined,s3_pso,S3 / PSO,S3,PSO,engineering_feasible,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_pso_refined_gravity_only,s3_pso,S3 / PSO,S3,PSO,engineering_feasible,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_pso_refined_wind_only,s3_pso,S3 / PSO,S3,PSO,engineering_feasible,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_sa_coarse,s3_sa,S3 / SA,S3,SA,engineering_feasible,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_sa_refined,s3_sa,S3 / SA,S3,SA,engineering_feasible,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_sa_refined_gravity_only,s3_sa,S3 / SA,S3,SA,engineering_feasible,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s3_sa_refined_wind_only,s3_sa,S3 / SA,S3,SA,engineering_feasible,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_bfgs_coarse,s4_bfgs,S4 / BFGS,S4,BFGS,engineering_feasible,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_bfgs_refined,s4_bfgs,S4 / BFGS,S4,BFGS,engineering_feasible,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_bfgs_refined_gravity_only,s4_bfgs,S4 / BFGS,S4,BFGS,engineering_feasible,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_bfgs_refined_wind_only,s4_bfgs,S4 / BFGS,S4,BFGS,engineering_feasible,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_pso_coarse,s4_pso,S4 / PSO,S4,PSO,warning_noncompliant,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_pso_refined,s4_pso,S4 / PSO,S4,PSO,warning_noncompliant,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_pso_refined_gravity_only,s4_pso,S4 / PSO,S4,PSO,warning_noncompliant,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_pso_refined_wind_only,s4_pso,S4 / PSO,S4,PSO,warning_noncompliant,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_sa_coarse,s4_sa,S4 / SA,S4,SA,engineering_feasible,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_sa_refined,s4_sa,S4 / SA,S4,SA,engineering_feasible,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_sa_refined_gravity_only,s4_sa,S4 / SA,S4,SA,engineering_feasible,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s4_sa_refined_wind_only,s4_sa,S4 / SA,S4,SA,engineering_feasible,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s5_bfgs_coarse,s5_bfgs,S5 / BFGS,S5,BFGS,engineering_feasible,coarse,comparison,combined,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_bfgs_refined,s5_bfgs,S5 / BFGS,S5,BFGS,engineering_feasible,refined,comparison,combined,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_bfgs_refined_gravity_only,s5_bfgs,S5 / BFGS,S5,BFGS,engineering_feasible,refined,load_decomposition,gravity_only,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_bfgs_refined_wind_only,s5_bfgs,S5 / BFGS,S5,BFGS,engineering_feasible,refined,load_decomposition,wind_only,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_pso_coarse,s5_pso,S5 / PSO,S5,PSO,engineering_feasible,coarse,comparison,combined,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_pso_refined,s5_pso,S5 / PSO,S5,PSO,engineering_feasible,refined,comparison,combined,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_pso_refined_gravity_only,s5_pso,S5 / PSO,S5,PSO,engineering_feasible,refined,load_decomposition,gravity_only,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_pso_refined_wind_only,s5_pso,S5 / PSO,S5,PSO,engineering_feasible,refined,load_decomposition,wind_only,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_sa_coarse,s5_sa,S5 / SA,S5,SA,engineering_feasible,coarse,comparison,combined,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_sa_refined,s5_sa,S5 / SA,S5,SA,engineering_feasible,refined,comparison,combined,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_sa_refined_gravity_only,s5_sa,S5 / SA,S5,SA,engineering_feasible,refined,load_decomposition,gravity_only,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s5_sa_refined_wind_only,s5_sa,S5 / SA,S5,SA,engineering_feasible,refined,load_decomposition,wind_only,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_bfgs_coarse,s6_bfgs,S6 / BFGS,S6,BFGS,engineering_feasible,coarse,comparison,combined,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_bfgs_refined,s6_bfgs,S6 / BFGS,S6,BFGS,engineering_feasible,refined,comparison,combined,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_bfgs_refined_gravity_only,s6_bfgs,S6 / BFGS,S6,BFGS,engineering_feasible,refined,load_decomposition,gravity_only,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_bfgs_refined_wind_only,s6_bfgs,S6 / BFGS,S6,BFGS,engineering_feasible,refined,load_decomposition,wind_only,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_pso_coarse,s6_pso,S6 / PSO,S6,PSO,engineering_feasible,coarse,comparison,combined,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_pso_refined,s6_pso,S6 / PSO,S6,PSO,engineering_feasible,refined,comparison,combined,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_pso_refined_gravity_only,s6_pso,S6 / PSO,S6,PSO,engineering_feasible,refined,load_decomposition,gravity_only,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_pso_refined_wind_only,s6_pso,S6 / PSO,S6,PSO,engineering_feasible,refined,load_decomposition,wind_only,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_sa_coarse,s6_sa,S6 / SA,S6,SA,engineering_feasible,coarse,comparison,combined,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_sa_refined,s6_sa,S6 / SA,S6,SA,engineering_feasible,refined,comparison,combined,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_sa_refined_gravity_only,s6_sa,S6 / SA,S6,SA,engineering_feasible,refined,load_decomposition,gravity_only,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s6_sa_refined_wind_only,s6_sa,S6 / SA,S6,SA,engineering_feasible,refined,load_decomposition,wind_only,0.0,3.552713678800501e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_bfgs_coarse,s7_bfgs,S7 / BFGS,S7,BFGS,engineering_feasible,coarse,comparison,combined,0.0,2.220446049250313e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_bfgs_refined,s7_bfgs,S7 / BFGS,S7,BFGS,engineering_feasible,refined,comparison,combined,0.0,2.220446049250313e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_bfgs_refined_gravity_only,s7_bfgs,S7 / BFGS,S7,BFGS,engineering_feasible,refined,load_decomposition,gravity_only,0.0,2.220446049250313e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_bfgs_refined_wind_only,s7_bfgs,S7 / BFGS,S7,BFGS,engineering_feasible,refined,load_decomposition,wind_only,0.0,2.220446049250313e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_pso_coarse,s7_pso,S7 / PSO,S7,PSO,mathematical_fallback,coarse,comparison,combined,0.0,3.1086244689504383e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_pso_refined,s7_pso,S7 / PSO,S7,PSO,mathematical_fallback,refined,comparison,combined,0.0,3.1086244689504383e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_pso_refined_gravity_only,s7_pso,S7 / PSO,S7,PSO,mathematical_fallback,refined,load_decomposition,gravity_only,0.0,3.1086244689504383e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_pso_refined_wind_only,s7_pso,S7 / PSO,S7,PSO,mathematical_fallback,refined,load_decomposition,wind_only,0.0,3.1086244689504383e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_sa_coarse,s7_sa,S7 / SA,S7,SA,mathematical_fallback,coarse,comparison,combined,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_sa_refined,s7_sa,S7 / SA,S7,SA,mathematical_fallback,refined,comparison,combined,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_sa_refined_gravity_only,s7_sa,S7 / SA,S7,SA,mathematical_fallback,refined,load_decomposition,gravity_only,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1e-09,pass
task7_s7_sa_refined_wind_only,s7_sa,S7 / SA,S7,SA,mathematical_fallback,refined,load_decomposition,wind_only,0.0,1.7763568394002505e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_bfgs_coarse,s8_bfgs,S8 / BFGS,S8,BFGS,warning_noncompliant,coarse,comparison,combined,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_bfgs_refined,s8_bfgs,S8 / BFGS,S8,BFGS,warning_noncompliant,refined,comparison,combined,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_bfgs_refined_gravity_only,s8_bfgs,S8 / BFGS,S8,BFGS,warning_noncompliant,refined,load_decomposition,gravity_only,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_bfgs_refined_wind_only,s8_bfgs,S8 / BFGS,S8,BFGS,warning_noncompliant,refined,load_decomposition,wind_only,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_pso_coarse,s8_pso,S8 / PSO,S8,PSO,warning_noncompliant,coarse,comparison,combined,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_pso_refined,s8_pso,S8 / PSO,S8,PSO,warning_noncompliant,refined,comparison,combined,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_pso_refined_gravity_only,s8_pso,S8 / PSO,S8,PSO,warning_noncompliant,refined,load_decomposition,gravity_only,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_pso_refined_wind_only,s8_pso,S8 / PSO,S8,PSO,warning_noncompliant,refined,load_decomposition,wind_only,0.0,2.6645352591003757e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_sa_coarse,s8_sa,S8 / SA,S8,SA,warning_noncompliant,coarse,comparison,combined,0.0,2.220446049250313e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_sa_refined,s8_sa,S8 / SA,S8,SA,warning_noncompliant,refined,comparison,combined,0.0,2.220446049250313e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_sa_refined_gravity_only,s8_sa,S8 / SA,S8,SA,warning_noncompliant,refined,load_decomposition,gravity_only,0.0,2.220446049250313e-15,0.0,0.0,0.0,1e-09,pass
task7_s8_sa_refined_wind_only,s8_sa,S8 / SA,S8,SA,warning_noncompliant,refined,load_decomposition,wind_only,0.0,2.220446049250313e-15,0.0,0.0,0.0,1e-09,pass
